"","lon","lat","svog_amount","svog_grantee","address_full","Address","City","State","Zip","Account Venue"
"1",-149.8941869,61.2170561,994989.5,"Alaska Center for the Performing Arts, Inc. ","621 W 6th Avenue, Anchorage, AK, 99501","621 W 6th Avenue","Anchorage","AK","99501","Live venue operator or promoter"
"2",-149.8759416,61.1439843,7284.72,"Alaska Dance Promotions LLC ","300 East Dimond Blvd., Suite 11A, Anchorage, AK, 99507","300 East Dimond Blvd., Suite 11A","Anchorage","AK","99507","Live venue operator or promoter"
"3",-149.8908037,61.2153717,141631.76,"Alaska Junior Theater, Inc. ","430 W. 7th Ave Ste 30, Anchorage, AK, 99501","430 W. 7th Ave Ste 30","Anchorage","AK","99501","Live performing arts organization operator"
"4",-149.7165329,61.2327754,74058.02,"Alaska Native Heritage Center ","8800 Heritage Center Drive, Anchorage, AK, 99504","8800 Heritage Center Drive","Anchorage","AK","99504","Museum Operator"
"5",-149.7421578,61.1842403,74834.55,"Alaska Naturally, Incorporated ","4101 Patricia Lane, Anchorage, AK, 99504","4101 Patricia Lane","Anchorage","AK","99504","Motion picture theater operator"
"6",-149.8907331,61.2153677,1750608.68,"Anchorage Concert Association Inc. ","430 W. 7th Ave. Ste. 200, Anchorage, AK, 99501","430 W. 7th Ave. Ste. 200","Anchorage","AK","99501","Live performing arts organization operator"
"7",-149.8846999,61.215893,558884.15,"Anchorage Museum Association ","625 C Street, Anchorage, AK, 99501","625 C Street","Anchorage","AK","99501","Museum Operator"
"8",-149.8543164,61.2227618,81297.43,"Anchorage Opera Company ","1507 Spar Ave, Anchorage, AK, 99501","1507 Spar Ave","Anchorage","AK","99501","Live performing arts organization operator"
"9",-149.8896965,61.2186822,180841.7,"Anchorage Symphony Orchestra ","400 D Street, Suite 230, Anchorage, AK, 99501","400 D Street, Suite 230","Anchorage","AK","99501","Live venue operator or promoter"
"10",-149.9117766,61.1914647,44385.4,"Anchorage Youth Symphony Assoc. (dba: Alaska Youth Orchestras) ","1505 W. 32nd Ave., Anchorage, AK, 99503","1505 W. 32nd Ave.","Anchorage","AK","99503","Live performing arts organization operator"
"11",-149.8096803,61.2093933,81255.15,"Cyrano's Theatre Company ","3800 Debarr Road, Anchorage, AK, 99508","3800 Debarr Road","Anchorage","AK","99508","Live performing arts organization operator"
"12",-149.893025,61.2163184,1015623.1,"Fish or Cut Bait, LLC ","609 F Street, Anchorage, AK, 99501","609 F Street","Anchorage","AK","99501","Live venue operator or promoter"
"13",-149.961029,61.1932724,26929.83,"Five Star Entertainment, Inc. ","4061 Westland Dr, Anchorage, AK, 99517","4061 Westland Dr","Anchorage","AK","99517","Talent representative"
"14",-149.9048444,61.1983404,927325.8,"Happy Camp LLC ","2435 Spenard Road, Anchorage, AK, 99503","2435 Spenard Road","Anchorage","AK","99503","Live venue operator or promoter"
"15",-149.8952528,61.2158702,34111.83,"Northern Culture Exchange ","645 G Street, Suite 100-866, Anchorage, AK, 99501","645 G Street, Suite 100-866","Anchorage","AK","99501","Live performing arts organization operator"
"16",-149.8665841,61.2163695,96007.91,"Showdown LLC ","900 E 6th Ave, Anchorage, AK, 99501","900 E 6th Ave","Anchorage","AK","99501","Live venue operator or promoter"
"17",-149.895438,61.1720259,103743,"TBA Theatre, Inc. ","TBA Theatre 635 W 54th ave, Anchorage, AK, 99518","TBA Theatre 635 W 54th ave","Anchorage","AK","99518","Theatrical producer"
"18",-149.8244275,61.1907878,58154.85,"University of Alaska Anchorage ","3211 Providence Drive, Anchorage, AK, 99508","3211 Providence Drive","Anchorage","AK","99508","Live venue operator or promoter"
"19",-161.791884,60.782116,47505.6,"Bethel Council on the Arts ","PO Box 264 1350 Aurora, Bethel, AK, 99559","PO Box 264 1350 Aurora","Bethel","AK","99559","Live venue operator or promoter"
"20",-141.9410661,64.0756248,222001.8,"Chickenstock Music Festival Inc. ","Milepost 66 Taylor Highway POB 64, Chicken, AK, 99732","Milepost 66 Taylor Highway POB 64","Chicken","AK","99732","Live venue operator or promoter"
"21",-134.3943143,58.2765701,118004.06,"Perseverance Theatre Incorporated ","914 3rd St, Douglas, AK, 99824","914 3rd St","Douglas","AK","99824","Live performing arts organization operator"
"22",-147.7199999,64.84,84061.32,"Fairbanks Concert Association ","P.O. Box 80547, Fairbanks, AK, 99708","P.O. Box 80547","Fairbanks","AK","99708","Live performing arts organization operator"
"23",-147.7163888,64.8377778,10700.13,"Fairbanks Shakespeare Theatre ","P. O. Box 73447, Fairbanks, AK, 99707","P. O. Box 73447","Fairbanks","AK","99707","Live performing arts organization operator"
"24",-147.87928,64.8170701,747882.75,"University of Alaska Fairbanks ","PO Box 755140, Fairbanks, AK, 99775","PO Box 755140","Fairbanks","AK","99775","Museum Operator"
"25",-135.4465918,59.231008,85452.05,"American Bald Eagle Foundation ","113 Haines Hwy,, Haines, AK, 99827","113 Haines Hwy,","Haines","AK","99827","Museum Operator"
